weekid,week_position,song,performer,weeks_on_chart,peak_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1976-05-29,71,Better Days,Melissa Manchester,5,71,261906,false,0.275,0.432,9,-11.952,true,0.0263,0.569,0.0799,0.174,0.386,167.83,4
1971-05-22,71,Be Nice To Me,Runt-Todd Rundgren,5,71,,,,,,,,,,,,,,
1967-04-01,71,Because Of You,Chris Montez,5,71,147043,false,0.563,0.546,9,-12.239,false,0.0445,0.521,0.0,0.982,0.68,135.263,4
1967-06-10,71,Am I Grooving You,Freddie Scott,5,71,191493,false,0.613,0.537,9,-11.102,true,0.0289,0.509,0.0,0.399,0.618,98.317,4
1964-03-21,71,Out Of Sight - Out Of Mind,Sunny & The Sunliners,5,71,161106,false,0.667,0.784,7,-3.871,true,0.129,0.0576,0.000404,0.317,0.553,131.187,4
1961-09-02,72,San-Ho-Zay,Freddy King,5,47,,,,,,,,,,,,,,
1968-06-08,72,Anyone For Tennis,Cream,5,64,158253,false,0.577,0.283,7,-16.53,true,0.0328,0.75,0.00000246,0.157,0.748,90.504,4
1969-11-15,72,Shangri-La,The Lettermen,5,64,,,,,,,,,,,,,,
1973-01-20,72,Anthem,Wayne Newton,5,65,,,,,,,,,,,,,,
1973-08-18,72,Didn't I,Sylvia (r&b),5,70,,,,,,,,,,,,,,
1964-10-24,72,Beach Girl,Pat Boone,5,72,,,,,,,,,,,,,,
1969-07-19,72,"Baby, Don't Be Looking In My Mind",Joe Simon,5,72,164586,false,0.688,0.541,7,-11.177,true,0.0381,0.673,0.072,0.111,0.844,101.259,4
1964-08-22,72,Summer Means Fun,Bruce & Terry,5,72,139866,false,0.476,0.633,5,-9.105,true,0.0306,0.417,0.0,0.152,0.964,77.69,4
1972-03-25,73,Do What You Set Out To Do,Bobby Bland,5,64,211000,false,0.467,0.331,0,-11.187,true,0.0344,0.00446,0.000993,0.2,0.408,63.012,4
